[2026-04-15 15:11:48] [INFO    ] discord.client: logging in using static token
[2026-04-15 15:11:48] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-04-15 15:11:48] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-04-15 15:11:48] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1485595275258101900', 'username': 'herbsbot', 'avatar': None, 'discriminator': '9471', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-04-15 15:11:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-04-15 15:11:49] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-04-15 15:11:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1485595275258101900', 'name': 'herbsbot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1485595275258101900', 'username': 'herbsbot', 'avatar': None, 'discriminator': '9471', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'b5a8dab1c85f113e4a9c497adc65475040441addf5171c5ffbb3ef83bf261b1d', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1476250480408531137', 'username': 'mohammadsalmansunakal', 'avatar': 'ce11d724f9db55950eac6bde2e3b1e57', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 2434341, 'global_name': 'salmanDN', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#252525', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-04-15 15:11:49] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-04-15 15:11:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-g8vd",{"micros":0.0}]']}}
[2026-04-15 15:11:49] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-04-15 15:11:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-15 15:11:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'herbsbot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1485595275258101900', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9471', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '3bdd667bfda8d15a0227337a9bfd4199', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1485910845333442633'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['tel-aviv', 'bucharest', 'saudi-arabia', 'warsaw', 'milan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1485595275258101900', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-g8vd",{"micros":140992,"calls":["id_created",{"micros":1789,"calls":[]},"session_lookup_time",{"micros":343,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"sessions-prd-gcp-us-east1-c-178",{"micros":138422,"calls":["start_session",{"micros":80299,"calls":["prd-rpc-d5c78b6c-cprft",{"micros":25722,"calls":["get_user",{"micros":5332},"get_guilds",{"micros":3437},"send_scheduled_deletion_message",{"micros":11},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":1082},"apex_experiments",{"micros":47057},"sessions_experiments",{"micros":5},"played_application_ids",{"micros":3},"linked_users",{"micros":2},"ad_personalization_toggles_disabled",{"micros":2},"regional_feature_config",{"micros":2}]}]},"starting_guild_connect",{"micros":85,"calls":[]},"presence_started",{"micros":41371,"calls":[]},"guilds_started",{"micros":160,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":16408,"calls":[]},"connect_finished",{"micros":16426,"calls":[]},"build_ready",{"micros":57,"calls":[]},"clean_ready",{"micros":21,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-04-15 15:11:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-15 15:11:49] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 3bdd667bfda8d15a0227337a9bfd4199).
[2026-04-15 15:11:49] [DEBUG   ] discord.client: Dispatching event connect
